Date,AAPL,AMZN,JPM,MSFT,SPY,XOM
2019-08-27,49.112159729003906,88.09149932861328,88.90217590332031,128.44549560546875,261.157958984375,50.247764587402344
2019-08-28,49.441707611083984,88.2125015258789,89.79336547851562,128.27517700195312,262.9969482421875,50.61422348022461
2019-08-29,50.27884292602539,89.31999969482422,91.82804107666016,130.6976318359375,266.356201171875,51.17509078979492
2019-08-30,50.213897705078125,88.81449890136719,92.36610412597656,130.45162963867188,266.23779296875,51.21249771118164
2019-09-03,49.482601165771484,89.49199676513672,91.27311706542969,128.7293701171875,264.6811218261719,51.272315979003906
2019-09-04,50.32215118408203,90.03099822998047,92.37451934814453,130.23397827148438,267.68536376953125,51.8182487487793
2019-09-05,51.306034088134766,92.03600311279297,94.47644805908203,132.52392578125,271.1265563964844,52.55113983154297
2019-09-06,51.30122756958008,91.67549896240234,94.67822265625,131.62496948242188,271.3359375,53.04471206665039
2019-09-09,51.52012252807617,91.56749725341797,97.0239486694336,130.12986755371094,271.4725036621094,53.46350860595703
2019-09-10,52.128746032714844,91.02749633789062,98.25987243652344,128.76724243164062,271.4088439941406,53.897247314453125
2019-09-11,53.78617477416992,91.14949798583984,98.52891540527344,128.80508422851562,273.3387145996094,53.79255294799805
2019-09-12,53.6659049987793,92.17749786376953,99.13424682617188,130.12986755371094,274.28546142578125,53.82994842529297
2019-09-13,52.621883392333984,91.96700286865234,101.08483123779297,129.94065856933594,274.1034240722656,54.32353973388672
2019-09-16,52.898521423339844,90.39199829101562,100.18519592285156,129.00381469726562,273.2568054199219,55.13868713378906
2019-09-17,53.090965270996094,91.12750244140625,99.68916320800781,130.0068817138672,273.94873046875,54.719886779785156
2019-09-18,53.58891677856445,90.87300109863281,100.68965148925781,131.07615661621094,274.112548828125,54.45813751220703
2019-09-19,53.153507232666016,91.07499694824219,100.37017059326172,133.48910522460938,274.0943603515625,54.091697692871094
2019-09-20,52.376495361328125,89.70800018310547,99.96659088134766,131.9467010498047,272.79937744140625,53.904727935791016
2019-09-23,52.61467361450195,89.26499938964844,99.94978332519531,131.6627960205078,272.73529052734375,53.9421272277832
2019-09-24,52.36448669433594,87.08049774169922,98.6466064453125,129.99742126464844,270.59515380859375,53.201759338378906
2019-09-25,53.17034912109375,88.41649627685547,99.20993041992188,131.87098693847656,272.19573974609375,53.35880661010742
2019-09-26,52.896114349365234,86.99199676513672,98.39437866210938,132.04132080078125,271.6286926269531,53.07462692260742
2019-09-27,52.63871765136719,86.27249908447266,98.97450256347656,130.3285675048828,270.1654052734375,53.45603561401367
2019-09-30,53.87759017944336,86.79550170898438,98.94927978515625,131.55870056152344,271.4183654785156,52.80539321899414
2019-10-01,54.0267333984375,86.78250122070312,97.15007781982422,129.7041015625,268.1898193359375,51.563968658447266
2019-10-02,52.672393798828125,85.6614990234375,95.21632385253906,127.41410064697266,263.4523620605469,50.217864990234375
2019-10-03,53.11983871459961,86.22100067138672,95.08069610595703,128.95651245117188,265.61083984375,50.83857727050781
2019-10-04,54.6088752746582,86.98249816894531,97.14012145996094,130.6976318359375,269.2051086425781,51.57894515991211
2019-10-07,54.620906829833984,86.63300323486328,96.92825317382812,129.7513427734375,268.0434875488281,50.868465423583984
2019-10-08,53.98102569580078,85.27549743652344,94.76712799072266,128.37928771972656,263.8822021484375,49.88132095336914
